GENE,type
HERC4,Other
TBX6,SE_TF
ALDOA,Other
CDK1,Other
BRD2,Other
SEC31A,Other
KTN1,Other
CRCP,Other
MVP,Other
PPP1CB,Other
PHF20L1,Other
HLA-DRA,Other
CHCHD2,Other
PSPH,Other
LGALS9,Other
ATXN2L,Other
MAPK8,Other
TRPS1,TF
CAMK2B,Other
AFP,Other
ZNF287,TF
CD59,Other
MYL3,Other
HECW1,Other
LRRC2,Other
GLI3,TF
YWHAZ,Other
NFATC2,TF
RPS29,Other
ADNP,TF
FOXB1,TF
GTF2A2,Other
LDHB,Other
ZNFX1,Other
KLHL28,Other
DDX39B,Other
RPL14,Other
MGST1,Other
TAX1BP1,Other
MYH11,Other
NDE1,Other
SOX6,TF
ETV6,TF
CYP19A1,Other
HNF4G,TF
ARHGAP21,Other
IQSEC2,Other
IPP,Other
SGK3,Other
ZNF143,TF
LRRC3B,Other
RPS8,Other
AP1S3,Other
UBN1,Other
THRB,TF
UBE2E2,Other
ING4,Other
DDX17,Other
SNAI2,TF
CSNK1E,Other
IRF9,TF
SOX10,TF
RBAK-RBAKDN,Other
RBAK,TF
CLDN6,Other
KAT6A,Other
CARD11,Other
MOCS2,Other
FLYWCH2,Other
PLEKHG6,Other
NFE2L2,SE_TF
CCNF,Other
DYNC1I2,Other
NCF4,Other
WNT5B,Other
AGAP3,Other
DEK,Other
IL15RA,Other
INS,Other
MB,Other
DDX51,Other
AKAP8L,Other
PTK2B,Other
EIF4ENIF1,Other
KDM7A,Other
IRF7,TF
MYCBP,Other
CDYL,Other
PRMT2,Other
TEN1,Other
ZBTB44,TF
PPP3CC,Other
MED13,Other
ROBO3,Other
POLR3D,Other
SH3KBP1,Other
ARHGEF12,Other
MBP,Other
CHMP1A,Other
ZMYND11,Other
MAP2K7,Other
GRIP1,Other
BCL2,Other
KHSRP,Other
HM13,Other
NSF,Other
CABIN1,Other
TCF4,SE_TF
VGLL3,Other
LARP4,Other
DIAPH1,Other
MX1,Other
GSTP1,Other
DOT1L,Other
SHARPIN,Other
HSDL2,Other
ATL3,Other
DAAM2,Other
DYRK1A,Other
RPRD1A,Other
POLR3G,Other
HECTD1,Other
ABCC1,Other
MAP3K1,Other
DLG4,Other
PAICS,Other
RBBP8,Other
KDM5A,Other
IFITM3,Other
RUNX3,TF
BACH1,TF
DDX3X,Other
CHD8,Other
SNRPN,Other
FKBP1A,Other
KDM1A,Other
USP25,Other
NRIP1,Other
CDC42,Other
PCBP3,Other
DIAPH3,Other
NEDD4L,Other
MAPK4,Other
TXNRD2,Other
GP1BB,Other
HMX1,TF
WDR47,Other
CCNL2,Other
UBE2J2,Other
MIER1,Other
MATN3,Other
GP5,Other
MTA3,Other
CDCA7L,Other
POU6F2,TF
CARF,Other
NCOR2,Other
PAXIP1,Other
CUL4B,Other
LRRC32,Other
ZFPM2,TF
RASGRP3,Other
WWC2,Other
RELA,TF
BCL6,TF
TFIP11,Other
ZGLP1,TF
IFRD1,Other
CBX6,Other
ETV2,TF
NRG1,Other
DQX1,Other
NLK,Other
FBXO11,Other
CDKN1A,Other
ESRRA,TF
XPO1,Other
TCL1A,Other
APOBEC3G,Other
NRXN1,Other
PICK1,Other
NCOA1,Other
ELAVL1,Other
MAD1L1,Other
NOLC1,Other
MAGI1,Other
MDK,Other
TFDP3,TF
PPARA,TF
ICA1,Other
HIPK2,Other
HOXD12,TF
IL6,Other
HERC3,Other
FOXO3,SE_TF
SETD5,Other
RPS14,Other
THADA,Other
BUD31,Other
MYH6,Other
DAPK1,Other
CEBPD,TF
TBX20,TF
FOXP2,TF
RBM34,Other
CNPPD1,Other
LRRTM4,Other
IL1R1,Other
TGOLN2,Other
PRPF40A,Other
HOXD3,TF
RAD54L2,Other
PSMD14,Other
CD8A,Other
KDM3A,Other
FHL2,Other
RPL31,Other
SETD2,Other
SLC39A10,Other
UBE2E3,Other
ACTG2,Other
TET3,Other
CXCR4,Other
RBM4,Other
KDELR3,Other
STK16,Other
CWC22,Other
POTEJ,Other
IMMT,Other
RAB1A,Other
TDRD9,Other
RAB6C,Other
NLRX1,Other
PWP1,Other
CREB1,TF
AMOTL1,Other
SOS1,Other
BRDT,Other
KIF4B,Other
WDR73,Other
UBA52,Other
SEC61G,Other
RARG,TF
EOMES,TF
SLC25A12,Other
EIF4B,Other
NFATC4,TF
TCF12,TF
AP1M1,Other
RPL23A,Other
PPP1R12A,Other
NFATC1,TF
YY2,Other
TLR6,Other
ARPC1B,Other
CTNNA3,Other
ADIPOQ,Other
HERC1,Other
IDH1,Other
HLA-DQB2,Other
GLI2,TF
TDRD12,Other
HNRNPLL,Other
IRAK4,Other
BORCS8-MEF2B,Other
MEIOB,Other
LRRC23,Other
DENND4A,Other
INO80C,Other
AGR2,Other
BCAR1,Other
JAK3,Other
LACC1,Other
CYLD,Other
CHD7,Other
DIP2A,Other
EFTUD2,Other
PPP6C,Other
PPIL6,Other
STRAP,Other
IFRD2,Other
CHFR,Other
GPX5,Other
LDB1,Other
TRAPPC2,Other
AGAP4,Other
SMARCD2,Other
POTEI,Other
HTATIP2,Other
RPS18,Other
FGFR1,Other
MYO1A,Other
CASP14,Other
IFT27,Other
HLA-DPA1,Other
SESN1,Other
PPIAL4G,Other
AHSG,Other
PRKD2,Other
GDI1,Other
MORF4L2,Other
FGD4,Other
MAPK9,Other
OPRM1,Other
ZNF516,TF
SENP1,Other
DOCK8,Other
ZNF746,TF
ARFIP1,Other
MECP2,Other
IFI35,Other
SMARCA4,Other
GNL3,Other
NSD1,Other
BRMS1,Other
MYT1L,TF
SCN4A,Other
GPATCH4,Other
MAPKAPK3,Other
NFYC,TF
TOP2B,Other
KANSL3,Other
NFIC,TF
ZNF697,TF
DNAJC4,Other
PSMD13,Other
ATF5,SE_TF
BAHD1,Other
RGS4,Other
SELENBP1,Other
LRRN3,Other
GRID2IP,Other
TSC22D1,TF
COG6,Other
ACTL6A,Other
RPL17,Other
PLEKHA8,Other
CHAC1,Other
E2F5,TF
GSPT1,Other
SOX5,TF
SPATA13,Other
EXOSC6,Other
TNF,Other
PHF21A,Other
KMT2B,Other
IP6K3,Other
CDK12,Other
LRRC70,Other
ATF7,TF
TNIK,Other
SATB1,TF
MOV10,Other
HOXC4,TF
HMGA1,Other
NCOA2,Other
PPP2R2D,Other
TAF6,Other
TEN1-CDK3,Other
ZDHHC13,Other
EWSR1,Other
RHOA,Other
FOXA2,TF
HNRNPF,Other
RPL9,Other
SNRPE,Other
LRRC69,Other
APTX,Other
PPIP5K1,Other
UBE2L3,Other
AGAP6,Other
HECTD2,Other
SATB2,TF
GAS2,Other
SHC1,Other
TIA1,Other
MYD88,Other
VPS53,Other
LDB3,Other
ERN1,Other
RFX8,TF
ECD,Other
SERPINB2,Other
MYOCD,Other
P4HA3,Other
MXD3,TF
BMPR1B,Other
MAVS,Other
MEF2B,TF
RUNX1T1,Other
COPG2,Other
ACTA2,Other
SMG1,Other
SENP6,Other
RPL6,Other
SNRNP35,Other
ARHGAP27,Other
ZDHHC17,Other
SYNGAP1,Other
POLR2F,Other
PPP1R13L,Other
TMED4,Other
DNAJB5,Other
SMC6,Other
PAX6,TF
ILF3,Other
CEP170B,Other
DOCK4,Other
RACGAP1,Other
EFHC2,Other
VGLL4,Other
PLEKHA5,Other
RPL36A,Other
DNAJB14,Other
MYH13,Other
EZH1,Other
NDRG1,Other
DHX57,Other
LIMS3,Other
ETV1,TF
ESR1,TF
PHLDB2,Other
GPI,Other
TBL1XR1,Other
DHX30,Other
ZNF837,Other
CCDC39,Other
CDC45,Other
ESRP1,Other
RXFP1,Other
PBX1,TF
TMED7,Other
RASGRF1,Other
SUMO2,Other
LRRD1,Other
KAT8,Other
POLD1,Other
PRMT1,Other
ZBTB7B,SE_TF
TCEA3,Other
DNAJC7,Other
CDK15,Other
TAF1,Other
PAK6,Other
TNPO2,Other
GAS7,Other
HRAS,Other
NKX1-1,Other
HLA-DPB1,Other
CYTH2,Other
TRIM32,Other
RFC5,Other
PRAM1,Other
HDAC9,Other
PRKCA,Other
CYP21A2,Other
KIF5A,Other
GDNF,Other
WSB2,Other
OTUD4,Other
CRACR2A,Other
HERPUD1,Other
ARRB1,Other
SUMO3,Other
SKIDA1,Other
SCN5A,Other
TRIM26,Other
CDK3,Other
LSM5,Other
CNBP,Other
NBR1,Other
ABCF3,Other
TOP2A,Other
ISY1-RAB43,Other
KIF21B,Other
IL10,Other
MBD3,Other
SNRPB,Other
MMS19,Other
IKZF2,TF
CAMTA2,SE_TF
RPL10,Other
STXBP2,Other
LRRC15,Other
CDKN1C,Other
RCOR3,TF
ERG,TF
SRSF12,Other
RPS24,Other
PSMA1,Other
DNAJB11,Other
SS18,Other
TICAM2,Other
CBFB,TF
SKIL,Other
POLR2H,Other
DCAF11,Other
CTCFL,Other
ATXN1L,Other
SERPINA1,Other
ARHGEF38,Other
EIF2B1,Other
WDR27,Other
SLC2A1,Other
RPL32,Other
DDX46,Other
IGFALS,Other
ACTBL2,Other
STK33,Other
TRA2B,Other
DHX36,Other
BAP1,Other
VWA1,Other
HOXB3,TF
EIF2A,Other
MED12L,Other
ROBO2,Other
GOLIM4,Other
HFE,Other
DNAJB8,Other
DNAJC24,Other
YIPF6,Other
PAEP,Other
GPHN,Other
PPP2R5D,Other
EHMT1,Other
MRPS22,Other
RPL37A,Other
CIAO1,Other
TAF1L,Other
CHCHD10,Other
PPP2CA,Other
RWDD2B,Other
MYSM1,Other
ESRP2,Other
PTK7,Other
PARK7,Other
FTO,Other
RPL29,Other
CDKN2A,Other
PEG10,Other
BRCA1,Other
NMD3,Other
GFM1,Other
GCH1,Other
RPL35A,Other
ZBTB20,TF
POU5F1B,Other
TRPC1,Other
SUCLG2,Other
AGTR1,Other
PPIA,Other
WWTR1,Other
RAD51B,Other
RYBP,Other
LRRC55,Other
SSBP1,Other
RXRA,TF
CDK5,Other
KLF6,SE_TF
HOXB6,TF
POLE4,Other
SRSF10,Other
NR6A1,TF
PHC3,Other
PDE6B,Other
RPL23,Other
ROBO1,Other
BAG1,Other
TFR2,Other
TFAM,TF
KLHL29,Other
HSD17B4,Other
PDK2,Other
ZNF131,TF
MYO10,Other
ALYREF,Other
PAQR3,Other
FNIP1,Other
SH3BP2,Other
LSM6,Other
ESRRB,TF
ADAMTS12,Other
SLIT2,Other
LARP7,Other
USP51,Other
RFPL4B,Other
CDK18,Other
CHAD,Other
ZFP62,SE_TF
KLHL2,Other
PLRG1,Other
NEDD4,Other
DDX4,Other
SRP19,Other
LUC7L3,Other
ATG12,Other
SMG7,Other
ABLIM3,Other
PALLD,Other
EIF4E,Other
EXOC3,Other
MIB2,Other
RAD17,Other
ZBTB38,SE_TF
RNF4,Other
SMAD1,TF
MRPS27,Other
RPS6KA2,Other
CXCL2,Other
FOXR2,TF
CEBPA,TF
DDR1,Other
ABL2,Other
FHDC1,Other
WWC1,Other
WWP1,Other
PIK3R1,Other
RPL30,Other
RPL26L1,Other
ANGPT1,Other
RIMS1,Other
TCEA1,Other
NWD1,Other
UTP14C,Other
STAU2,Other
CCNC,Other
UBR5,Other
CCNE2,Other
TPD52,Other
RPS20,Other
MYBL1,TF
ASAP1,Other
SCUBE2,Other
LYRM2,Other
RALYL,Other
EBF2,TF
HDAC2,Other
ZFHX4,TF
IKBKB,Other
LPXN,Other
API5,Other
NTRK1,Other
CD3G,Other
HSF1,TF
POU2F2,TF
EIF3F,Other
TYK2,Other
AMBRA1,Other
SAMD1,Other
CAPN1,Other
ANKHD1-EIF4EBP3,Other
HSPA8,Other
BRK1,Other
SPTBN2,Other
CFL1,Other
RNPC3,Other
CASP1,Other
MS4A1,Other
LMO7,Other
CREBZF,Other
FLI1,SE_TF
TRAF6,Other
ZNF585B,Other
TPD52L1,Other
SERPINH1,Other
ARFGAP2,Other
TXNRD1,Other
MAML2,Other
TSKU,Other
LRRC24,Other
RPS25,Other
BCLAF1,TF
TEAD1,TF
RPS6KA1,Other
C1orf94,Other
RPS13,Other
CELF1,Other
KMT2A,Other
CACNG5,Other
DBX1,Other
DPF2,Other
TIAM2,Other
LATS1,Other
IQSEC3,Other
HMGA2,Other
HTR2A,Other
LDHC,Other
ZNF641,TF
CD19,Other
HIF1A,TF
GGA3,Other
COPS7A,Other
TJP2,Other
LRIT2,Other
TRMT112,Other
PGAM5,Other
KPNA2,Other
RAB40C,Other
CUL7,Other
DBI,Other
NFE2,TF
POTEE,Other
ZNF667,TF
PPIAL4D,Other
PLEKHG5,Other
MPDZ,Other
ARF1,Other
TCEANC,Other
RAB19,Other
PSMD9,Other
TLR5,Other
PHC1,Other
CYP2E1,Other
NR4A1,TF
AP3B2,Other
USP36,Other
UBC,Other
SALL3,Other
PHB2,Other
ARHGEF28,Other
SESN3,Other
SMAD5,TF
TMTC1,Other
CAND1,Other
TOP3A,Other
MIXL1,TF
ACVR1B,Other
ADAP1,Other
TET2,Other
SETD1B,Other
DAPK3,Other
TBC1D10C,Other
SP7,TF
SUDS3,Other
NUP153,Other
POLR1B,Other
SEBOX,TF
MYCBP2,Other
CYFIP2,Other
TDO2,Other
FKBP5,Other
USO1,Other
CUL2,Other
AP1S2,Other
HCK,Other
GTF2H3,Other
LDHA,Other
PRAME,Other
PCGF5,Other
TIMM50,Other
VIM,Other
RBMXL1,Other
LIMS1,Other
RRP12,Other
RAN,Other
SLC25A10,Other
SOD2,Other
LSM14A,Other
LRTM2,Other
HOXC11,TF
DNAJC22,Other
BAZ2A,Other
APPL2,Other
MYL6,Other
RPL18,Other
RAB5C,Other
NR1H4,TF
VDR,TF
PFDN5,Other
CEP290,Other
DAZAP2,Other
NUP37,Other
POTEG,Other
PRPF40B,Other
TPCN1,Other
APAF1,Other
SPATS2,Other
BRF1,Other
DDIT3,SE_TF
DNM1L,Other
AGAP2,Other
COPZ1,Other
RPLP0,Other
MAPKAPK5,Other
MYL6B,Other
TIMELESS,Other
POTEM,Other
SLIRP,Other
NEDD1,Other
HNRNPC,Other
NUMB,Other
ASB2,Other
SPTB,Other
LIN52,Other
SRP54,Other
AKT1,Other
NKX1-2,Other
XRCC3,Other
DNAL1,Other
SRSF5,Other
RGMA,Other
DUXA,Other
GTF2A1,Other
ZFP37,TF
ETFA,Other
TLE3,Other
RPL28,Other
LRRC49,Other
RFX7,TF
MEIS3,TF
TGIF2LX,TF
MEIS2,TF
RNF111,Other
NRL,TF
ZEB2,TF
TRAF3,Other
CLN3,Other
LRRC9,Other
ZNF423,TF
KCTD13,Other
MRC1,Other
TUBB8,Other
DET1,Other
MLST8,Other
STRA6,Other
POTEB2,Other
INO80E,Other
WWOX,Other
CHD9,Other
NFAT5,TF
UBL7,Other
CENPT,Other
PHLPP2,Other
DUX4,Other
BOLA2-SMG1P6,Other
ACTG1,Other
DPEP2,Other
LRRC37A2,Other
GTF2I,Other
PRPF8,Other
USP6,Other
RSL1D1,Other
RAB40B,Other
ZFP92,Other
RASSF5,Other
SAP30BP,Other
YES1,Other
TXNIP,Other
POLI,Other
CUEDC1,Other
OAZ2,Other
PPIAL4C,Other
RBM8A,Other
MIF4GD,Other
RPL17-C18orf32,Other
SEC22B,Other
PPIAL4F,Other
RNF115,Other
RPL26,Other
IKBKE,Other
CDK11B,Other
DDX42,Other
UBBP4,Other
PTRH2,Other
RPL36,Other
LRRC37A3,Other
PPIAL4H,Other
RPL27,Other
UNK,Other
PIAS2,Other
ZNF581,SE_TF
ATF7-NPFF,Other
PLK5,Other
NLRP11,Other
RAD51D,Other
TLE2,Other
CIRBP,Other
ZNF524,SE_TF
WTIP,Other
LRFN3,Other
TTN,Other
TNNT1,Other
SAFB,Other
RPS15,Other
GPATCH8,Other
LINGO3,Other
MAP2K6,Other
GFAP,Other
MBD1,Other
HSFX2,TF
LRRC63,Other
PAK4,Other
EGLN2,Other
LRIT3,Other
VRK3,Other
ZNF114,SE_TF
UPF1,Other
PRICKLE3,Other
SUPT5H,Other
MYH14,Other
RPS19,Other
NUP62,Other
FARP1,Other
MAGIX,Other
MYO9B,Other
LRRC4B,Other
IRF3,SE_TF
TEAD2,TF
RPS28,Other
IL4I1,Other
ZNF473,TF
KXD1,Other
VAV1,Other
RPS5,Other
SNRNP70,Other
RUVBL2,Other
OAZ1,Other
COMMD3-BMI1,Other
CSNK2A3,Other
DENND4C,Other
DNAJC3,Other
TAF15,Other
CCL5,Other
TPBGL,Other
RPS10-NUDT3,Other
DUOX2,Other
CWC15,Other
FRK,Other
SIRT5,Other
CDYL2,Other
BHLHA15,TF
SCX,Other
FKBP8,Other
RPAP2,Other
APBB1,Other
KCNJ6,Other
NAP1L1,Other
NR1H3,TF
TPT1,Other
AATF,Other
TOX4,Other
CWC25,Other
CASP8AP2,Other
CRY2,Other
AKAP1,Other
ABCB1,Other
CCNI2,Other
IGHV4-38-2,Other
POLR2E,Other
GREM1,Other
YTHDF3,Other
VEGFA,Other
RYK,Other
DDX6,Other
POTEB3,Other
ADRM1,Other
GNAZ,Other
YAP1,Other
FMN1,Other
TRIL,Other
HNRNPCL1,Other
PCID2,Other
DDX52,Other
DPF3,Other
CLTC,Other
UHRF1,Other
MYC,SE_TF
RPS6KA5,Other
CIB1,Other
MLLT6,Other
LRRC8E,Other
SRSF8,Other
HYOU1,Other
POLR2A,Other
IQSEC1,Other
PDLIM5,Other
SRRT,Other
ITCH,Other
ADRA2B,Other
COPZ2,Other
LRRC39,Other
SRRM3,Other
VPS29,Other
SETSIP,Other
ZCCHC17,Other
MCM3,Other
BHLHE23,TF
PSMC3,Other
RAB44,Other
TADA2A,Other
GRIFIN,Other
DDX24,Other
TNFAIP3,Other
RPS10,Other
SAP18,Other
GNB1,Other
NR4A3,TF
PTGES3,Other
DACH1,Other
TTC8,Other
RECQL4,Other
IRX4,TF
MAP3K14,Other
AP2B1,Other
PPIP5K2,Other
NR2C2,TF
HNRNPDL,Other
WDR38,Other
DDX27,Other
IKBKG,Other
ZNF580,SE_TF
FHOD3,Other
VPS11,Other
RASGRP4,Other
ARFIP2,Other
CYFIP1,Other
ORAI1,Other
BTK,Other
EXOC5,Other
PER3,Other
CPSF1,Other
NCOA4,Other
GIMAP6,Other
UBTFL1,Other
SLC2A14,Other
CREB3L1,TF
CHD1,Other
TWIST2,TF
HNRNPCL2,Other
MUC1,Other
ENC1,Other
ATRAID,Other
GALE,Other
HOXA3,TF
NCAM1,Other
LHX1,TF
ZMYM2,Other
PRR14,Other
MIS12,Other
ZNF274,TF
ZNF8,TF
CIITA,Other
MORN3,Other
ZSCAN2,TF
PDE10A,Other
ELK1,TF
CCDC102B,Other
RBFOX3,Other
SAP25,Other
DCAF7,Other
PCGF2,Other
SCO2,Other
IP6K1,Other
CRABP2,Other
USP27X,Other
SMOX,Other
FOXP1,TF
ZSCAN26,Other
E2F8,TF
ZNF787,Other
ZNF707,TF
SPIB,TF
MAP7,Other
CHMP2A,Other
MED6,Other
CPEB3,Other
CCL3,Other
NR2E3,TF
RAX2,TF
C9orf72,Other
GOLGA8F,Other
ARMS2,Other
TFF3,Other
MBD3L1,Other
RUSC2,Other
IL12RB1,Other
KRTCAP3,Other
PTMS,Other
ATPAF2,Other
ZNF2,TF
LMO3,Other
HOPX,TF
NOBOX,TF
ABCA8,Other
SPIC,TF
CCDC106,Other
NOP16,Other
FOXI3,Other
INPP1,Other
ARHGAP22,Other
BBC3,Other
AGBL1,Other
ALMS1,Other
FMO4,Other
CEP83,Other
ZNF628,TF
SP6,TF
ZSCAN5B,Other
ZNF398,TF
ZNF286B,Other
ZIC4,TF
CHURC1,Other
BCL2L12,Other
B4GALT4,Other
TCF24,Other
ASCL5,Other
ASCL3,TF
SLC25A19,Other
FAR2,Other
ADAM33,Other
REP15,Other
METTL4,Other
ETV3L,Other
COLQ,Other
HSD3B2,Other
CES4A,Other
SGCZ,Other
C10orf55,Other
PRR20E,Other
SAPCD2,Other
NATD1,Other
TIGIT,Other
CCDC175,Other
