,Tf,In_Degree,Out_Degree,Total_Connections,file
1917,BHLHE41,110,71,181,JJN3_H3K27ac_DEGREE_TABLE.txt
1918,CAMTA1,101,45,146,JJN3_H3K27ac_DEGREE_TABLE.txt
1919,CAMTA2,108,29,137,JJN3_H3K27ac_DEGREE_TABLE.txt
1920,CEBPB,89,93,182,JJN3_H3K27ac_DEGREE_TABLE.txt
1921,CREB3L1,99,87,186,JJN3_H3K27ac_DEGREE_TABLE.txt
1922,CREB3L4,109,88,197,JJN3_H3K27ac_DEGREE_TABLE.txt
1923,CTCF,95,113,208,JJN3_H3K27ac_DEGREE_TABLE.txt
1924,DBP,101,103,204,JJN3_H3K27ac_DEGREE_TABLE.txt
1925,DDIT3,102,104,206,JJN3_H3K27ac_DEGREE_TABLE.txt
1926,E2F2,107,107,214,JJN3_H3K27ac_DEGREE_TABLE.txt
1927,E2F4,109,103,212,JJN3_H3K27ac_DEGREE_TABLE.txt
1928,ETV6,101,109,210,JJN3_H3K27ac_DEGREE_TABLE.txt
1929,FERD3L,111,103,214,JJN3_H3K27ac_DEGREE_TABLE.txt
1930,FIZ1,111,113,224,JJN3_H3K27ac_DEGREE_TABLE.txt
1931,FLI1,109,113,222,JJN3_H3K27ac_DEGREE_TABLE.txt
1932,FOSL1,112,91,203,JJN3_H3K27ac_DEGREE_TABLE.txt
1933,FOXH1,111,102,213,JJN3_H3K27ac_DEGREE_TABLE.txt
1934,FOXO3,105,113,218,JJN3_H3K27ac_DEGREE_TABLE.txt
1935,FOXP2,104,105,209,JJN3_H3K27ac_DEGREE_TABLE.txt
1936,GFI1,106,110,216,JJN3_H3K27ac_DEGREE_TABLE.txt
1937,GLI1,106,110,216,JJN3_H3K27ac_DEGREE_TABLE.txt
1938,GMEB2,80,75,155,JJN3_H3K27ac_DEGREE_TABLE.txt
1939,GZF1,110,71,181,JJN3_H3K27ac_DEGREE_TABLE.txt
1940,HINFP,108,110,218,JJN3_H3K27ac_DEGREE_TABLE.txt
1941,HSF4,109,85,194,JJN3_H3K27ac_DEGREE_TABLE.txt
1942,IRF2,105,95,200,JJN3_H3K27ac_DEGREE_TABLE.txt
1943,IRF3,105,111,216,JJN3_H3K27ac_DEGREE_TABLE.txt
1944,IRF4,108,108,216,JJN3_H3K27ac_DEGREE_TABLE.txt
1945,IRF5,100,106,206,JJN3_H3K27ac_DEGREE_TABLE.txt
1946,IRX2,110,99,209,JJN3_H3K27ac_DEGREE_TABLE.txt
1947,JUNB,109,107,216,JJN3_H3K27ac_DEGREE_TABLE.txt
1948,JUND,84,113,197,JJN3_H3K27ac_DEGREE_TABLE.txt
1949,KLF10,101,113,214,JJN3_H3K27ac_DEGREE_TABLE.txt
1950,KLF13,112,88,200,JJN3_H3K27ac_DEGREE_TABLE.txt
1951,KLF16,103,113,216,JJN3_H3K27ac_DEGREE_TABLE.txt
1952,KLF2,111,111,222,JJN3_H3K27ac_DEGREE_TABLE.txt
1953,KLF6,98,108,206,JJN3_H3K27ac_DEGREE_TABLE.txt
1954,KLF9,108,111,219,JJN3_H3K27ac_DEGREE_TABLE.txt
1955,MAF,101,112,213,JJN3_H3K27ac_DEGREE_TABLE.txt
1956,MAZ,112,113,225,JJN3_H3K27ac_DEGREE_TABLE.txt
1957,MEF2D,109,108,217,JJN3_H3K27ac_DEGREE_TABLE.txt
1958,MNX1,107,91,198,JJN3_H3K27ac_DEGREE_TABLE.txt
1959,MXI1,107,106,213,JJN3_H3K27ac_DEGREE_TABLE.txt
1960,MYC,113,98,211,JJN3_H3K27ac_DEGREE_TABLE.txt
1961,MZF1,95,111,206,JJN3_H3K27ac_DEGREE_TABLE.txt
1962,NFAT5,100,105,205,JJN3_H3K27ac_DEGREE_TABLE.txt
1963,NFE2L1,106,102,208,JJN3_H3K27ac_DEGREE_TABLE.txt
1964,NFE2L2,98,100,198,JJN3_H3K27ac_DEGREE_TABLE.txt
1965,NFE2L3,112,108,220,JJN3_H3K27ac_DEGREE_TABLE.txt
1966,NFIC,97,108,205,JJN3_H3K27ac_DEGREE_TABLE.txt
1967,NFKB2,104,107,211,JJN3_H3K27ac_DEGREE_TABLE.txt
1968,NR3C1,109,110,219,JJN3_H3K27ac_DEGREE_TABLE.txt
1969,POU2F1,93,113,206,JJN3_H3K27ac_DEGREE_TABLE.txt
1970,PRDM1,111,111,222,JJN3_H3K27ac_DEGREE_TABLE.txt
1971,PRDM10,88,87,175,JJN3_H3K27ac_DEGREE_TABLE.txt
1972,RAD21,103,113,216,JJN3_H3K27ac_DEGREE_TABLE.txt
1973,RARA,110,113,223,JJN3_H3K27ac_DEGREE_TABLE.txt
1974,RORA,112,113,225,JJN3_H3K27ac_DEGREE_TABLE.txt
1975,RUNX2,106,113,219,JJN3_H3K27ac_DEGREE_TABLE.txt
1976,RUNX3,109,112,221,JJN3_H3K27ac_DEGREE_TABLE.txt
1977,RXRB,97,111,208,JJN3_H3K27ac_DEGREE_TABLE.txt
1978,SMAD2,85,102,187,JJN3_H3K27ac_DEGREE_TABLE.txt
1979,SMAD7,113,92,205,JJN3_H3K27ac_DEGREE_TABLE.txt
1980,SP3,86,113,199,JJN3_H3K27ac_DEGREE_TABLE.txt
1981,SREBF1,101,105,206,JJN3_H3K27ac_DEGREE_TABLE.txt
1982,SREBF2,108,103,211,JJN3_H3K27ac_DEGREE_TABLE.txt
1983,STAT1,108,113,221,JJN3_H3K27ac_DEGREE_TABLE.txt
1984,TBX6,101,105,206,JJN3_H3K27ac_DEGREE_TABLE.txt
1985,TCF4,107,106,213,JJN3_H3K27ac_DEGREE_TABLE.txt
1986,TFAP2A,105,113,218,JJN3_H3K27ac_DEGREE_TABLE.txt
1987,TGIF1,104,103,207,JJN3_H3K27ac_DEGREE_TABLE.txt
1988,THAP1,106,113,219,JJN3_H3K27ac_DEGREE_TABLE.txt
1989,THAP11,102,94,196,JJN3_H3K27ac_DEGREE_TABLE.txt
1990,TWIST1,111,105,216,JJN3_H3K27ac_DEGREE_TABLE.txt
1991,USF2,76,112,188,JJN3_H3K27ac_DEGREE_TABLE.txt
1992,ZBTB1,100,79,179,JJN3_H3K27ac_DEGREE_TABLE.txt
1993,ZBTB3,97,111,208,JJN3_H3K27ac_DEGREE_TABLE.txt
1994,ZBTB32,105,85,190,JJN3_H3K27ac_DEGREE_TABLE.txt
1995,ZBTB38,110,99,209,JJN3_H3K27ac_DEGREE_TABLE.txt
1996,ZBTB7A,100,112,212,JJN3_H3K27ac_DEGREE_TABLE.txt
1997,ZBTB7B,111,105,216,JJN3_H3K27ac_DEGREE_TABLE.txt
1998,ZFP62,111,112,223,JJN3_H3K27ac_DEGREE_TABLE.txt
1999,ZFP91,107,109,216,JJN3_H3K27ac_DEGREE_TABLE.txt
2000,ZNF114,105,85,190,JJN3_H3K27ac_DEGREE_TABLE.txt
2001,ZNF131,87,103,190,JJN3_H3K27ac_DEGREE_TABLE.txt
2002,ZNF217,110,81,191,JJN3_H3K27ac_DEGREE_TABLE.txt
2003,ZNF22,109,102,211,JJN3_H3K27ac_DEGREE_TABLE.txt
2004,ZNF251,98,108,206,JJN3_H3K27ac_DEGREE_TABLE.txt
2005,ZNF267,99,113,212,JJN3_H3K27ac_DEGREE_TABLE.txt
2006,ZNF276,83,113,196,JJN3_H3K27ac_DEGREE_TABLE.txt
2007,ZNF335,86,109,195,JJN3_H3K27ac_DEGREE_TABLE.txt
2008,ZNF34,98,93,191,JJN3_H3K27ac_DEGREE_TABLE.txt
2009,ZNF497,97,111,208,JJN3_H3K27ac_DEGREE_TABLE.txt
2010,ZNF517,98,113,211,JJN3_H3K27ac_DEGREE_TABLE.txt
2011,ZNF524,111,110,221,JJN3_H3K27ac_DEGREE_TABLE.txt
2012,ZNF579,92,113,205,JJN3_H3K27ac_DEGREE_TABLE.txt
2013,ZNF580,111,111,222,JJN3_H3K27ac_DEGREE_TABLE.txt
2014,ZNF581,111,108,219,JJN3_H3K27ac_DEGREE_TABLE.txt
2015,ZNF584,97,95,192,JJN3_H3K27ac_DEGREE_TABLE.txt
2016,ZNF623,76,112,188,JJN3_H3K27ac_DEGREE_TABLE.txt
2017,ZNF688,100,85,185,JJN3_H3K27ac_DEGREE_TABLE.txt
2018,ZNF689,97,104,201,JJN3_H3K27ac_DEGREE_TABLE.txt
2019,ZNF764,100,85,185,JJN3_H3K27ac_DEGREE_TABLE.txt
2020,ZNF768,100,113,213,JJN3_H3K27ac_DEGREE_TABLE.txt
2021,ZNF775,106,107,213,JJN3_H3K27ac_DEGREE_TABLE.txt
2022,ZNF784,111,109,220,JJN3_H3K27ac_DEGREE_TABLE.txt
2023,ZNF785,82,85,167,JJN3_H3K27ac_DEGREE_TABLE.txt
2024,ZNF837,97,113,210,JJN3_H3K27ac_DEGREE_TABLE.txt
2025,ARF1,77,15,92,MM11.H3K27ac_DEGREE_TABLE.txt
2026,ARF4,75,34,109,MM11.H3K27ac_DEGREE_TABLE.txt
2027,ATF3,83,97,180,MM11.H3K27ac_DEGREE_TABLE.txt
2028,ATF4,72,86,158,MM11.H3K27ac_DEGREE_TABLE.txt
2029,ATF5,78,82,160,MM11.H3K27ac_DEGREE_TABLE.txt
2030,BACH1,79,57,136,MM11.H3K27ac_DEGREE_TABLE.txt
2031,BCLAF1,72,95,167,MM11.H3K27ac_DEGREE_TABLE.txt
2032,BHLHA15,67,58,125,MM11.H3K27ac_DEGREE_TABLE.txt
2033,BHLHE40,77,45,122,MM11.H3K27ac_DEGREE_TABLE.txt
2034,BHLHE41,86,33,119,MM11.H3K27ac_DEGREE_TABLE.txt
2035,BRCA1,74,18,92,MM11.H3K27ac_DEGREE_TABLE.txt
2036,CAMTA2,71,21,92,MM11.H3K27ac_DEGREE_TABLE.txt
2037,CEBPB,76,71,147,MM11.H3K27ac_DEGREE_TABLE.txt
2038,CEBPG,67,79,146,MM11.H3K27ac_DEGREE_TABLE.txt
2039,CHD2,88,83,171,MM11.H3K27ac_DEGREE_TABLE.txt
2040,CNOT3,55,79,134,MM11.H3K27ac_DEGREE_TABLE.txt
2041,CREB1,68,80,148,MM11.H3K27ac_DEGREE_TABLE.txt
2042,CREB3L2,79,65,144,MM11.H3K27ac_DEGREE_TABLE.txt
2043,CREM,67,66,133,MM11.H3K27ac_DEGREE_TABLE.txt
2044,DDIT3,79,66,145,MM11.H3K27ac_DEGREE_TABLE.txt
2045,ELF1,74,95,169,MM11.H3K27ac_DEGREE_TABLE.txt
2046,ELF2,58,71,129,MM11.H3K27ac_DEGREE_TABLE.txt
2047,ELK4,70,72,142,MM11.H3K27ac_DEGREE_TABLE.txt
2048,FOS,68,81,149,MM11.H3K27ac_DEGREE_TABLE.txt
2049,FOSB,87,35,122,MM11.H3K27ac_DEGREE_TABLE.txt
2050,FOSL2,79,65,144,MM11.H3K27ac_DEGREE_TABLE.txt
2051,FOXN2,73,84,157,MM11.H3K27ac_DEGREE_TABLE.txt
2052,FOXP2,72,77,149,MM11.H3K27ac_DEGREE_TABLE.txt
2053,GLI1,71,76,147,MM11.H3K27ac_DEGREE_TABLE.txt
2054,HAP1,73,6,79,MM11.H3K27ac_DEGREE_TABLE.txt
2055,HBP1,76,83,159,MM11.H3K27ac_DEGREE_TABLE.txt
2056,HIVEP2,83,72,155,MM11.H3K27ac_DEGREE_TABLE.txt
2057,IRF2,71,75,146,MM11.H3K27ac_DEGREE_TABLE.txt
2058,IRF4,84,86,170,MM11.H3K27ac_DEGREE_TABLE.txt
2059,IRF9,61,83,144,MM11.H3K27ac_DEGREE_TABLE.txt
2060,JUN,73,86,159,MM11.H3K27ac_DEGREE_TABLE.txt
2061,JUNB,85,80,165,MM11.H3K27ac_DEGREE_TABLE.txt
2062,JUND,70,94,164,MM11.H3K27ac_DEGREE_TABLE.txt
2063,KLF13,73,47,120,MM11.H3K27ac_DEGREE_TABLE.txt
2064,KLF2,82,88,170,MM11.H3K27ac_DEGREE_TABLE.txt
2065,KLF6,86,68,154,MM11.H3K27ac_DEGREE_TABLE.txt
2066,KLF7,70,97,167,MM11.H3K27ac_DEGREE_TABLE.txt
2067,KLF9,89,84,173,MM11.H3K27ac_DEGREE_TABLE.txt
2068,LHX6,66,67,133,MM11.H3K27ac_DEGREE_TABLE.txt
2069,MAFG,54,80,134,MM11.H3K27ac_DEGREE_TABLE.txt
2070,MEF2A,62,95,157,MM11.H3K27ac_DEGREE_TABLE.txt
2071,MEF2C,77,91,168,MM11.H3K27ac_DEGREE_TABLE.txt
2072,MNT,79,29,108,MM11.H3K27ac_DEGREE_TABLE.txt
2073,MXI1,82,76,158,MM11.H3K27ac_DEGREE_TABLE.txt
2074,MZF1,72,95,167,MM11.H3K27ac_DEGREE_TABLE.txt
2075,NFE2L2,82,68,150,MM11.H3K27ac_DEGREE_TABLE.txt
2076,NFE2L3,79,82,161,MM11.H3K27ac_DEGREE_TABLE.txt
2077,NFIL3,81,81,162,MM11.H3K27ac_DEGREE_TABLE.txt
2078,NFKB2,69,80,149,MM11.H3K27ac_DEGREE_TABLE.txt
2079,NFYA,75,60,135,MM11.H3K27ac_DEGREE_TABLE.txt
2080,NR1D1,86,81,167,MM11.H3K27ac_DEGREE_TABLE.txt
2081,NR1D2,75,49,124,MM11.H3K27ac_DEGREE_TABLE.txt
2082,NR3C1,89,79,168,MM11.H3K27ac_DEGREE_TABLE.txt
2083,NR4A2,79,89,168,MM11.H3K27ac_DEGREE_TABLE.txt
2084,NR4A3,78,62,140,MM11.H3K27ac_DEGREE_TABLE.txt
2085,NRL,67,54,121,MM11.H3K27ac_DEGREE_TABLE.txt
2086,PAX4,72,97,169,MM11.H3K27ac_DEGREE_TABLE.txt
2087,PLAGL2,74,97,171,MM11.H3K27ac_DEGREE_TABLE.txt
2088,POU2F1,73,97,170,MM11.H3K27ac_DEGREE_TABLE.txt
2089,PRDM1,85,93,178,MM11.H3K27ac_DEGREE_TABLE.txt
2090,PRDM10,62,42,104,MM11.H3K27ac_DEGREE_TABLE.txt
2091,PRDM5,65,96,161,MM11.H3K27ac_DEGREE_TABLE.txt
2092,RARA,69,96,165,MM11.H3K27ac_DEGREE_TABLE.txt
2093,RBPJ,74,75,149,MM11.H3K27ac_DEGREE_TABLE.txt
2094,RFX1,64,95,159,MM11.H3K27ac_DEGREE_TABLE.txt
2095,RFX3,74,84,158,MM11.H3K27ac_DEGREE_TABLE.txt
2096,RUNX1,65,63,128,MM11.H3K27ac_DEGREE_TABLE.txt
2097,RXRA,52,94,146,MM11.H3K27ac_DEGREE_TABLE.txt
2098,TBX6,72,62,134,MM11.H3K27ac_DEGREE_TABLE.txt
2099,THRA,86,84,170,MM11.H3K27ac_DEGREE_TABLE.txt
2100,TP53,73,78,151,MM11.H3K27ac_DEGREE_TABLE.txt
2101,USF1,77,65,142,MM11.H3K27ac_DEGREE_TABLE.txt
2102,VSX1,70,77,147,MM11.H3K27ac_DEGREE_TABLE.txt
2103,XBP1,85,56,141,MM11.H3K27ac_DEGREE_TABLE.txt
2104,YY1,58,97,155,MM11.H3K27ac_DEGREE_TABLE.txt
2105,ZBTB38,73,62,135,MM11.H3K27ac_DEGREE_TABLE.txt
2106,ZBTB7A,71,77,148,MM11.H3K27ac_DEGREE_TABLE.txt
2107,ZBTB7B,93,82,175,MM11.H3K27ac_DEGREE_TABLE.txt
2108,ZFP91,81,71,152,MM11.H3K27ac_DEGREE_TABLE.txt
2109,ZFX,60,96,156,MM11.H3K27ac_DEGREE_TABLE.txt
2110,ZNF165,78,69,147,MM11.H3K27ac_DEGREE_TABLE.txt
2111,ZNF189,60,93,153,MM11.H3K27ac_DEGREE_TABLE.txt
2112,ZNF460,66,95,161,MM11.H3K27ac_DEGREE_TABLE.txt
2113,ZNF483,66,83,149,MM11.H3K27ac_DEGREE_TABLE.txt
2114,ZNF543,66,95,161,MM11.H3K27ac_DEGREE_TABLE.txt
2115,ZNF672,77,91,168,MM11.H3K27ac_DEGREE_TABLE.txt
2116,ZNF687,69,38,107,MM11.H3K27ac_DEGREE_TABLE.txt
2117,ZNF692,77,80,157,MM11.H3K27ac_DEGREE_TABLE.txt
2118,ZNF775,67,87,154,MM11.H3K27ac_DEGREE_TABLE.txt
2119,ZNF79,67,84,151,MM11.H3K27ac_DEGREE_TABLE.txt
2120,ZNF805,66,85,151,MM11.H3K27ac_DEGREE_TABLE.txt
2121,ZSCAN16,78,46,124,MM11.H3K27ac_DEGREE_TABLE.txt
2122,AIRE,90,92,182,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2123,ARF1,86,43,129,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2124,ARID3A,94,87,181,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2125,ARID5A,93,90,183,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2126,ATF4,93,92,185,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2127,BCL6B,90,96,186,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2128,BHLHE40,92,82,174,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2129,CAMTA2,94,24,118,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2130,CREB3L4,93,75,168,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2131,CTCF,88,96,184,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2132,CUX1,87,84,171,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2133,DUX4,64,84,148,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2134,E2F2,93,94,187,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2135,E2F3,87,96,183,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2136,E2F4,95,89,184,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2137,ESRRA,70,96,166,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2138,ETV6,94,94,188,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2139,FIZ1,92,96,188,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2140,FOSL1,89,88,177,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2141,FOXH1,80,83,163,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2142,FOXO3,89,95,184,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2143,FOXR1,88,94,182,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2144,GLI1,90,94,184,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2145,HES1,89,95,184,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2146,HNF1B,87,86,173,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2147,HSF4,95,77,172,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2148,IRF1,94,95,189,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2149,IRF2,94,86,180,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2150,IRF4,92,96,188,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2151,IRF5,91,96,187,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2152,JUNB,93,89,182,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2153,KLF13,95,77,172,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2154,KLF16,88,95,183,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2155,KLF3,92,94,186,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2156,KLF6,84,86,170,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2157,KLF9,92,96,188,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2158,LTF,92,79,171,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2159,MAF,95,96,191,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2160,MAFG,88,96,184,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2161,MAZ,94,96,190,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2162,MEF2D,94,95,189,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2163,MNX1,93,82,175,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2164,MYC,90,89,179,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2165,MZF1,85,96,181,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2166,NFAT5,87,95,182,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2167,NFE2L1,92,84,176,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2168,NFE2L2,82,86,168,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2169,NFE2L3,94,92,186,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2170,NFIC,88,94,182,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2171,NFKB2,88,95,183,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2172,NOTCH1,90,85,175,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2173,NR1D1,93,95,188,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2174,NR3C1,92,93,185,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2175,NR4A2,90,95,185,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2176,POU2F1,84,95,179,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2177,PRDM1,95,95,190,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2178,RARA,95,96,191,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2179,RARG,93,96,189,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2180,RUNX3,87,96,183,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2181,RXRA,91,96,187,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2182,RXRB,87,95,182,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2183,SMAD3,95,96,191,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2184,SMAD7,95,85,180,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2185,SP3,75,96,171,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2186,SREBF1,95,91,186,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2187,SREBF2,93,89,182,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2188,TBX6,79,91,170,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2189,TCF4,89,94,183,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2190,THAP11,86,91,177,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2191,THRA,93,94,187,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2192,XBP1,89,72,161,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2193,ZBTB3,85,95,180,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2194,ZBTB38,93,93,186,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2195,ZBTB7A,82,94,176,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2196,ZBTB7B,95,91,186,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2197,ZFP62,95,95,190,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2198,ZFP91,89,92,181,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2199,ZNF114,90,72,162,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2200,ZNF131,73,95,168,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2201,ZNF217,93,75,168,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2202,ZNF267,92,96,188,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2203,ZNF283,80,96,176,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2204,ZNF497,89,93,182,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2205,ZNF524,92,96,188,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2206,ZNF580,92,94,186,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2207,ZNF581,92,95,187,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2208,ZNF584,89,90,179,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2209,ZNF688,91,75,166,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2210,ZNF689,84,92,176,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2211,ZNF740,93,96,189,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2212,ZNF764,91,78,169,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2213,ZNF768,91,96,187,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2214,ZNF775,94,93,187,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2215,ZNF784,92,95,187,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2216,ZNF785,91,76,167,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2217,ZNF837,89,96,185,RPMI8226_H3K27ac_DEGREE_TABLE.txt
2218,ATF3,70,85,155,U266.H3K27ac_DEGREE_TABLE.txt
2219,ATF4,72,77,149,U266.H3K27ac_DEGREE_TABLE.txt
2220,ATF5,85,80,165,U266.H3K27ac_DEGREE_TABLE.txt
2221,BACH2,73,75,148,U266.H3K27ac_DEGREE_TABLE.txt
2222,BHLHE40,84,59,143,U266.H3K27ac_DEGREE_TABLE.txt
2223,BHLHE41,81,49,130,U266.H3K27ac_DEGREE_TABLE.txt
2224,CHD2,82,80,162,U266.H3K27ac_DEGREE_TABLE.txt
2225,CUX1,72,68,140,U266.H3K27ac_DEGREE_TABLE.txt
2226,DDIT3,76,79,155,U266.H3K27ac_DEGREE_TABLE.txt
2227,E2F2,83,80,163,U266.H3K27ac_DEGREE_TABLE.txt
2228,E2F6,73,83,156,U266.H3K27ac_DEGREE_TABLE.txt
2229,ELF2,66,70,136,U266.H3K27ac_DEGREE_TABLE.txt
2230,ELK3,76,57,133,U266.H3K27ac_DEGREE_TABLE.txt
2231,ERF,70,67,137,U266.H3K27ac_DEGREE_TABLE.txt
2232,FOS,70,75,145,U266.H3K27ac_DEGREE_TABLE.txt
2233,FOSL1,72,57,129,U266.H3K27ac_DEGREE_TABLE.txt
2234,FOSL2,73,70,143,U266.H3K27ac_DEGREE_TABLE.txt
2235,FOXK2,78,65,143,U266.H3K27ac_DEGREE_TABLE.txt
2236,FOXN3,82,25,107,U266.H3K27ac_DEGREE_TABLE.txt
2237,FOXO3,78,84,162,U266.H3K27ac_DEGREE_TABLE.txt
2238,FOXP1,78,84,162,U266.H3K27ac_DEGREE_TABLE.txt
2239,HBP1,66,81,147,U266.H3K27ac_DEGREE_TABLE.txt
2240,HES1,81,81,162,U266.H3K27ac_DEGREE_TABLE.txt
2241,HIVEP2,76,76,152,U266.H3K27ac_DEGREE_TABLE.txt
2242,IKZF3,81,85,166,U266.H3K27ac_DEGREE_TABLE.txt
2243,IRF2,82,69,151,U266.H3K27ac_DEGREE_TABLE.txt
2244,JUNB,79,79,158,U266.H3K27ac_DEGREE_TABLE.txt
2245,JUND,68,84,152,U266.H3K27ac_DEGREE_TABLE.txt
2246,KLF2,85,81,166,U266.H3K27ac_DEGREE_TABLE.txt
2247,KLF6,85,76,161,U266.H3K27ac_DEGREE_TABLE.txt
2248,LHX3,72,72,144,U266.H3K27ac_DEGREE_TABLE.txt
2249,LHX6,63,72,135,U266.H3K27ac_DEGREE_TABLE.txt
2250,MAFF,81,85,166,U266.H3K27ac_DEGREE_TABLE.txt
2251,MEF2D,83,78,161,U266.H3K27ac_DEGREE_TABLE.txt
2252,MYBL2,78,61,139,U266.H3K27ac_DEGREE_TABLE.txt
2253,MYNN,59,61,120,U266.H3K27ac_DEGREE_TABLE.txt
2254,NFE2,59,58,117,U266.H3K27ac_DEGREE_TABLE.txt
2255,NFE2L1,72,69,141,U266.H3K27ac_DEGREE_TABLE.txt
2256,NFE2L2,73,72,145,U266.H3K27ac_DEGREE_TABLE.txt
2257,NFE2L3,84,84,168,U266.H3K27ac_DEGREE_TABLE.txt
2258,NFKB2,65,82,147,U266.H3K27ac_DEGREE_TABLE.txt
2259,NR1D1,83,85,168,U266.H3K27ac_DEGREE_TABLE.txt
